"","pi_D08","is_ok","CO2.PPM.","SIO2.WT..","TIO2.WT..","AL2O3.WT..","FeOT_calc","MGO.WT..","CAO.WT..","NA2O.WT..","K2O.WT..","P2O5.WT..","NB.PPM.","CE.PPM.","LA.PPM."
"82",NA,0,1.14612803567824,51.11,3.49,14.23,8.91,11.86,8.79,1.6,0.418,0.25,NA,NA,NA
"83",NA,0,2.68304703823885,53.17,2.94,14.17,6.31,11.11,9.12,2.78,0.25,0.23,NA,NA,NA
"84",NA,0,2.68304703823885,52.59,2.99,15.95,6.62,9.26,8.6,3.28,0.464,0.33,NA,NA,NA
"85",NA,0,1.55630250076729,53.47,2.73,13.28,7.35,11.63,8.57,2.4,0.333,0.4,NA,NA,NA
"86",NA,0,0.698970004336019,52.52,3.07,13.68,7.53,11.77,8.59,2.11,0.386,0.3,NA,NA,NA
"87",NA,0,1,50.91,2.95,13.49,8.97,11.76,8.43,1.94,0.158,0.32,NA,NA,NA
"88",NA,0,2.2380461031288,53.36,3.2,14.34,6.24,10.53,9.04,2.74,0.49,0.33,NA,NA,NA
"89",NA,0,2.43296929087441,53.1,3.25,14.16,6.83,10.38,8.41,2.68,0.591,0.41,NA,NA,NA
"90",NA,0,2.44090908206522,54.06,2.73,13.58,6.6,11.04,9.23,2.65,0.193,0.19,NA,NA,NA
"91",NA,0,2.44247976906445,53.62,2.91,13.75,6.58,11.13,9.06,2.67,0.311,0.32,NA,NA,NA
"92",NA,0,1.77085201164214,53.1,2.73,13.27,6.84,11.32,9.07,2.64,0.378,0.54,NA,NA,NA
"93",NA,0,1.17609125905568,53.27,2.95,13.23,6.88,11.51,8.93,2.68,0.368,0.29,NA,NA,NA
"94",NA,0,2.24303804868629,53.84,2.83,13.63,6.77,10.7,9.35,2.6,0.22,0.23,NA,NA,NA
"95",NA,0,2.17318626841227,53.69,2.8,13.48,6.3,11.34,9.14,2.67,0.326,0.26,NA,NA,NA
"96",NA,0,1.66275783168157,54.24,2.73,13.74,5.77,11.34,9.09,2.67,0.27,0.27,NA,NA,NA
"97",NA,0,2.36921585741014,53.95,2.84,13.66,5.87,11.48,9.64,2.61,0.109,0.23,NA,NA,NA
"98",NA,0,1.67209785793572,52.64,2.92,13.76,6.71,11.04,9.86,2.49,0.319,0.27,NA,NA,NA
"99",NA,0,1.54406804435028,53.23,2.49,13.27,7.14,11.36,9.3,2.35,0.318,0.24,NA,NA,NA
"100",NA,0,2.3654879848909,52.92,2.83,13.96,6.85,10.6,10.08,2.39,0.264,0.21,NA,NA,NA
"101",NA,0,1.72427586960079,53.47,2.46,13.75,6.57,10.84,9.8,2.29,0.406,0.29,NA,NA,NA
"102",NA,0,1.79934054945358,54.09,2.66,13.64,6.3,11.51,9.22,2.64,0.334,0.28,NA,NA,NA
"103",NA,0,1.84509804001426,53.8,2.65,13.76,6.17,11.55,9.05,2.13,0.27,0.24,NA,NA,NA
"104",NA,0,1.74036268949424,54.26,2.77,13.34,6.47,11.48,9.4,2.51,0.177,0.17,NA,NA,NA
"105",NA,0,2.18752072083646,53.3,2.76,14.15,6.63,10.99,9.82,2.46,0.342,0.22,NA,NA,NA
"106",NA,0,2.24797326636181,53.56,2.7,14.03,6.43,11.1,9.65,2.44,0.299,0.23,NA,NA,NA
"107",NA,0,2.12057393120585,52.67,2.67,13.46,6.71,11.7,9.86,2.25,0.308,0.71,NA,NA,NA
"108",NA,0,2.49692964807321,52.98,2.75,13.47,6.28,11.52,9.6,2.38,0.318,0.51,NA,NA,NA
"109",NA,0,1.36172783601759,51.83,2.93,13.15,7.57,12.16,9.61,2.17,0.303,0.35,NA,NA,NA
"110",NA,0,2.78318869107526,53.74,2.81,13.42,7.07,11.19,9.55,2.48,0.332,0.27,NA,NA,NA
"111",NA,0,1.68124123737559,53.65,2.67,13.64,6.02,11.61,9.56,2.68,0.225,0.36,NA,NA,NA
"112",NA,0,2.75050839485135,53.7,2.7,14.01,6.34,10.88,9.43,2.75,0.24,0.21,NA,NA,NA
"113",NA,0,2.44715803134222,53.14,2.64,13.33,7.7,11.15,9.67,2.28,0.233,0.18,NA,NA,NA
"114",NA,0,2.08635983067475,53.25,2.64,13.43,7.25,11.14,9.76,2.46,0.222,0.19,NA,NA,NA
"115",NA,0,2.31386722036915,53.54,2.62,13.65,7,11.41,9.57,2.51,0.216,0.19,NA,NA,NA
"116",NA,0,2.71096311899528,52.11,2.93,13.89,6.98,11.16,9.92,2.47,0.33,0.28,NA,NA,NA
"117",NA,0,1.90308998699194,53.71,2.8,13.5,6.07,11.59,9.22,2.61,0.245,0.25,NA,NA,NA
"118",NA,0,1.27875360095283,77.6,NA,12.3,NA,0.02,0.41,4.49,4.69,NA,29.7,36.8,15
"119",NA,0,1.54406804435028,77.4,NA,12.7,NA,0.03,0.43,4.17,4.8,NA,30.8,33.7,13.4
"120",NA,0,2.50650503240487,77.6,NA,12.6,NA,0.03,0.45,3.78,5.24,NA,32.2,42,18.4
"121",NA,0,2.13033376849501,77.6,NA,12.5,NA,0.03,0.43,3.74,5.07,NA,27.7,42.8,17.9
"122",NA,0,1.66275783168157,77.6,NA,12.6,NA,0.02,0.44,4.15,4.67,NA,26,40.2,16.9
"123",NA,0,1.65321251377534,78.1,NA,12.4,NA,0.02,0.42,3.6,4.87,NA,26.3,38.1,16.5
"124",NA,0,2.72916478969277,77.6,NA,12.2,NA,0.03,0.47,3.54,5.5,NA,25.1,55.2,26.1
"125",NA,0,2.72509452108147,77.5,NA,12.4,NA,0.04,0.44,3.84,5.11,NA,25.5,58.1,26.3
"126",NA,0,2.34439227368511,77.1,NA,11.9,NA,0.03,0.44,4.38,5.59,NA,29,49.9,21.9
"127",NA,0,1.85125834871908,78.3,NA,11.6,NA,0.03,0.42,4.08,5.15,NA,25.3,42.8,19.1
"128",NA,0,2.98317507203781,77.7,NA,12.1,NA,0.05,0.5,3.36,5.45,NA,24.2,55,25.9
"129",NA,0,2.60745502321467,78.6,NA,11.8,NA,0.04,0.43,3.02,5.33,NA,24.3,46,20.8
"130",-0.908389689442865,1,2.90848501887865,47.6,2.11,14.46,NA,9.88,9.59,3.29,0.56,0.27,26,45,21
"131",-1.1097183128164,1,3.27554168840131,47.1,2.17,16.01,NA,7.39,10.72,3.64,0.55,0.32,24,45,20
"132",-0.606874447867506,1,3.17666993266815,46.02,2.24,14.86,NA,9.04,10.52,3.28,0.6,0.32,30,45,23
"133",-1.213823683841,1,3.14952701375435,48.2,1.99,14.1,NA,8,10.4,2.96,0.5,0.28,27,49,24
"134",-0.808917878630858,1,2.92324401863028,47.69,2.34,14.43,NA,9.97,9.9,3.08,0.71,0.39,52,112,55
"135",-1.00778390380379,1,3.17201880942456,47.13,2.57,14.79,NA,7.22,11.07,3,0.75,0.45,35,62,29
"136",NA,0,3.12872228433843,45.01,3.61,14.83,NA,6.84,9.36,3.72,1.22,0.58,NA,NA,NA
"137",NA,0,3.29114676173189,43.94,3.9,14.79,NA,5.69,10,3.64,1.1,0.62,NA,NA,NA
"138",NA,0,3.18695633546541,45.5,3.58,15.92,NA,5.43,9.37,4.07,1.36,0.63,NA,NA,NA
"139",0.966465014305269,1,3.36417563277062,44.02,1.88,14.19,NA,7.58,14.18,3.11,0.8,0.38,61,101,53
"140",1.38899149833009,1,2.9237619608287,43.52,2.42,14,NA,10.24,13.13,3.26,1.03,0.58,67,97,55
"141",0.363451467741136,1,3.10890312766731,42.62,2.34,15.14,NA,8.28,11.68,3.61,0.91,0.35,69,109,59
"142",1.79618642577328,1,3.52087638168834,40.17,1.58,14.72,NA,5.6,15.86,3.53,0.6,0.25,5,28,10
"143",0.959540600361176,1,2.75281643118827,42.81,2.18,15.05,NA,5.8,14.61,3.87,0.42,0.03,14,53,22
"144",1.0659214799392,1,2.42160392686983,42.11,2.18,15.07,NA,4.47,15.57,3.68,0.46,0.1,3,13,4
"145",1.16104362367811,1,3.30941722577814,41.81,2.04,14.27,NA,6.29,14.43,3.54,0.45,0.2,3,19,5
"146",0.904393140552449,1,2.9982593384237,42.53,2.18,15,NA,5.46,14.65,3.71,0.52,0.09,13,42,17
"147",NA,0,1.32221929473392,68.75,0.46,11.68,2.02,0.41,1.22,NA,2.62,NA,NA,NA,NA
"148",NA,0,2.38021124171161,60.44,0.76,13.04,9.45,3.34,5.38,2.82,1.47,NA,NA,NA,NA
"149",NA,0,2.23044892137827,57.04,1.17,13.21,12.2,4.28,7.97,2.11,1.06,NA,NA,NA,NA
"150",NA,0,1.96378782734556,57.69,0.8,13.2,9.95,3.83,6.27,2.85,1.16,NA,NA,NA,NA
"151",NA,0,2.46239799789896,60.22,0.85,12.18,8.17,3.22,6.51,3.1,1.41,NA,NA,NA,NA
"152",NA,0,1,72.05,0.43,11.38,1.82,0.36,0.99,4.02,2.69,NA,NA,NA,NA
